species_name
Panthera tigris
Panthera leo
Panthera pardus
Panthera onca
Acinonyx jubatus
Puma concolor
Lynx lynx
Felis catus
Canis lupus
Canis latrans
Vulpes vulpes
Alopex lagopus
Ursus arctos
Ursus maritimus
Ursus americanus
Melursus ursinus
Helarctos malayanus
Elephas maximus
Loxodonta africana
Diceros bicornis
Ceratotherium simum
Equus quagga
Equus zebra
Giraffa camelopardalis
Hippopotamus amphibius
Syncerus caffer
Bos taurus
Bos grunniens
Bison bison
Alces alces
Cervus canadensis
Rangifer tarandus
Camelus dromedarius
Camelus bactrianus
Lama glama
Vicugna pacos
Macropus rufus
Phascolarctos cinereus
Ornithorhynchus anatinus
Tachyglossus aculeatus
Gorilla gorilla
Pan troglodytes
Pongo pygmaeus
Papio anubis
Mandrillus sphinx
Lemur catta
Ailuropoda melanoleuca
Ailurus fulgens
Balaenoptera musculus
Megaptera novaeangliae
Haliaeetus leucocephalus
Aquila chrysaetos
Falco peregrinus
Struthio camelus
Dromaius novaehollandiae
Casuarius casuarius
Apteryx australis
Aptenodytes forsteri
Pavo cristatus
Phoenicopterus roseus
Cygnus olor
Anser anser
Ardea cinerea
Pelecanus onocrotalus
Ciconia ciconia
Corvus corax
Corvus brachyrhynchos
Pica pica
Passer domesticus
Erithacus rubecula
Alcedo atthis
Picus viridis
Trochilidae sp.
Ara macao
Cacatua galerita
Melopsittacus undulatus
Tyto alba
Bubo bubo
Spheniscus demersus
Columba livia
Gallus gallus
Meleagris gallopavo
Anas platyrhynchos
Branta canadensis
Grus japonensis
Milvus migrans
Psittacula krameri
Eudyptes chrysocome
Fratercula arctica
Nestor notabilis
Larus argentatus
Sterna hirundo
Buteo jamaicensis
Accipiter gentilis
Athene noctua
Upupa epops
Buceros bicornis
Cyanocitta cristata
Turdus migratorius
Cinclus cinclus
Ophiophagus hannah
Python bivittatus
Python regius
Eunectes murinus
Boa constrictor
Crotalus atrox
Naja naja
Varanus komodoensis
Iguana iguana
Chamaeleo calyptratus
Gekko gecko
Crocodylus niloticus
Alligator mississippiensis
Gavialis gangeticus
Chelonia mydas
